Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ACTR6,30,9,0.0009740817847902242,0.0027874924245387934,0.03707292197858236
ACTRT3,40,10,3.137171873901402e-05,0.00014843745180293403,0.05320414754377019
ACVR1B,36,9,5.64729480997015e-05,0.00024625747228841963,0.047883732789393174
ACVR2B,31,7,0.00010329003718746068,0.0003977460970464832,0.042648308686044537
ACVRL1,36,8,2.1598488641086336e-05,0.0001053478734692545,0.04977052524222336
ACY3,8,31,0.00011235975919710128,0.0004271946490182448,0.04407615162332144
ACYP2,20,6,0.009005653966994754,0.019930284597159918,0.024715281319054906
ADA,175,40,2.4220434380638157e-24,3.4445310940191653e-23,0.23984361720210778
ADAM15,62,29,0.0009253201323164558,0.0026796100553660883,0.056994730579636235
ADAM1A,30,8,0.0004279066194789238,0.0013432904705966717,0.03895971443141255
ADAM22,436,134,2.880755821160949e-72,1.1150306938710087e-70,0.5327553969063403
ADAM30,43,11,1.7244883465093664e-05,8.572779208168707e-05,0.056722760496345406
ADAM33,176,43,3.120540584205419e-23,3.6498659262925995e-22,0.235985041645419
ADAMTS1,34,14,0.0072536103556394655,0.016464085385131784,0.03484616692163862
ADAMTS10,181,47,8.424094433323936e-23,9.154345166400787e-22,0.23744688084310728
ADAMTS16,29,11,0.006019527095492665,0.014211799704466097,0.031497535271120175
ADAMTS19,20,7,0.01853516742298712,0.037601127159046406,0.022828488866224714
ADAMTS2,26,10,0.010765075799446777,0.023339094608934848,0.02797892231854496
ADAMTS20,33,10,0.0005438448725379064,0.0016506593160416894,0.04059153493115758
ADAMTS5,34,14,0.0072536103556394655,0.016464085385131784,0.03484616692163862
ADAMTS6,26,9,0.0056525822557531216,0.013472540916822788,0.02986571477137515
ADAMTS8,9,49,9.03533844464938e-09,5.894557461413744e-08,0.07623661397246302
ADAMTS9,30,8,0.0004279066194789238,0.0013432904705966717,0.03895971443141255
ADAR,58,28,0.0016134661934984443,0.004415276110415386,0.05167431582525922
ADARB1,35,16,0.014005418004859459,0.029298421451034874,0.03287438381778004
ADARB2,13,65,8.972118713540074e-11,6.425525934189071e-10,0.09921808601053884
ADAT2,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
ADC,44,13,5.6015785800307776e-05,0.0002452609536877616,0.05475097739248682
ADCK2,435,166,1.479583791794272e-56,3.2017852140009192e-55,0.47057623661397247
ADCK3,49,25,0.007881566332915077,0.017711411519933957,0.04111847696753357
ADCK4,142,30,1.9932860750796773e-20,1.606826101746999e-19,0.1992520822709502
ADCK5,39,75,0.00015086745385424247,0.0005532911897394415,0.07123916369199387
ADCY1,417,109,8.26443321956443e-76,3.496204453279398e-74,0.5456909739928608
ADCY10,50,25,0.005753026582275178,0.013653437612611983,0.042920278769335365
ADCY2,30,11,0.004019185529665655,0.009978530051995173,0.033299337072921986
ADCY3,23,7,0.004966241738960657,0.01198145507746652,0.02823389427163012
ADCY5,28,5,5.949475379404536e-05,0.00025311394121217375,0.04101648818629951
ADCY6,34,9,0.0001495706990900623,0.0005497437001797738,0.044280129185789566
ADCY8,41,84,1.5610655566518335e-05,7.853963996581988e-05,0.08461669216386197
ADCYAP1R1,429,107,2.2949409788303466e-83,2.9969933582673167e-81,0.5710861805201428
ADGB,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
ADIPOQ,49,8,3.0196775825387834e-08,1.8990585399735112e-07,0.07319394866564678
ADM5,129,25,1.9951762697175294e-19,1.514841113175827e-18,0.18526262111167774
ADNP2,34,9,0.0001495706990900623,0.0005497437001797738,0.044280129185789566
ADORA1,61,29,0.0012965206862630661,0.00362591204214129,0.05519292877783444
ADORA3,47,12,5.782613988921974e-06,3.1396708924667466e-05,0.06204317525072242
