Gene,GBM_gain,LGG_gain,pval,FDR
ORC5,429,153,1.0933491546061745e-59,3.344178738060189e-58
ORM1,46,23,0.008709407128753057,0.019495882584530243
ORM2,46,23,0.008709407128753057,0.019495882584530243
OS9,112,34,1.8509221405830782e-11,1.3319189605786619e-10
OSBP,4,20,0.0006472263749157859,0.0019304956700070056
OSBP2,12,10,0.8310894554740471,0.8795843158780295
OSBPL10,28,9,0.0023839772751895276,0.006274547970346359
OSBPL11,30,5,1.9686386736206496e-05,9.658613394457666e-05
OSBPL1A,31,10,0.0013262029808564068,0.0036787802671779677
OSBPL3,425,105,2.591243838814021e-82,2.0374502602779562e-80
OSBPL5,7,14,0.1233006032899853,0.18858625727762493
OSBPL6,16,4,0.011499379438805801,0.024841438494244177
OSBPL7,19,12,0.2781153532826206,0.3713975080560552
OSBPL8,34,9,0.0001495706990900623,0.0005497437001797738
OSBPL9,38,13,0.000802640619496415,0.0023497186790637737
OSCAR,141,25,9.830740591541224e-23,1.050597748582808e-21
OSCP1,46,13,2.1981625686934106e-05,0.00010607970905089216
OSER1,174,40,4.564921919727036e-24,6.255109250954436e-23
OSGIN1,16,11,0.43964061589798575,0.5385857549193205
OSGIN2,35,51,0.05547437415267247,0.09467206261645854
OSMR,28,10,0.0047761746050156775,0.011572860635386486
OSTC,10,6,0.4530657644335597,0.5501853036519123
OSTCP1,12,2,0.01270460490418217,0.02696025949569137
OSTF1,42,23,0.02922670890519237,0.05470855220468391
OSTM1,15,2,0.0022766524091180577,0.006016323399636634
OSTN,38,8,7.642912219446183e-06,4.0573084380220136e-05
OTC,6,9,0.4425515141810726,0.5398179532140471
OTOF,22,6,0.0035374478575069474,0.0089061847316076
OTOG,6,15,0.04624296208619189,0.08055640930407491
OTOGL,31,7,0.00010329003718746068,0.0003977460970464832
OTOL1,34,8,5.979734871378052e-05,0.00025353940795696096
OTOP1,11,10,1.0,1.0
OTOR,177,42,5.8648936655551866e-24,7.746611527643605e-23
OTP,23,9,0.019296343833463993,0.038618402410842516
OTUB1,6,25,0.0003612854441977449,0.0011630835586198785
OTUD1,11,57,9.12351169558721e-10,6.3025252366296555e-09
OTUD3,35,12,0.0014681100465925546,0.004043292990964054
OTUD4,9,3,0.14505090281306568,0.21580884272306522
OTUD5,6,11,0.22543235496496675,0.3137331367468202
