names,scores,logfoldchanges,pvals,pvals_adj
RGL2,6.749511,0.037085038,7.804281678245406e-11,7.038973243941007e-09
EXOSC8,6.740931,0.06347405,1.0933366970467486e-10,9.23137107767146e-09
UBE2I,6.734842,0.035526127,1.3640933656315534e-10,1.0848608936602045e-08
SULT1A3,6.7276545,0.07116652,7.970403481538575e-11,7.095069789451019e-09
MOSPD3,6.7250485,0.053861033,1.1228792016702866e-10,9.373478746557188e-09
ZNF788,6.7200613,0.10341022,1.3247436526425144e-10,1.0618591493475088e-08
PIGF,6.714425,0.053068805,1.558660164918407e-10,1.2098094158465268e-08
ALKBH6,6.713,0.0678969,9.721600534958543e-11,8.35808374197846e-09
SNHG10,6.7060375,0.0941542,1.1012670537037232e-10,9.23137107767146e-09
ALOX12,6.700797,0.19264582,1.1793846050609536e-10,9.804487390337299e-09
EDARADD,6.69296,0.2206397,1.5748932228853781e-10,1.2098094158465268e-08
BMP1,6.6905575,0.062303938,1.262332272207807e-10,1.0281619697278002e-08
PRR7,6.6818337,0.1243551,1.407116012409823e-10,1.1101317622612087e-08
PARD6G,6.6805162,0.080475785,1.5325578720950502e-10,1.19939973542998e-08
C14orf181,6.6742477,0.21971454,1.2207519092786458e-10,1.0024117106476652e-08
MAGOH,6.662081,0.06861267,1.8956311309060972e-10,1.4336957553221377e-08
CLEC11A,6.6620574,0.10290657,1.5381505703396704e-10,1.19939973542998e-08
LENG9,6.6545,0.16772972,1.981976532245119e-10,1.487813577451765e-08
IMMP2L,6.6521916,0.07373822,1.708745377458114e-10,1.3021416478675128e-08
C19orf10,6.6508403,0.06050165,2.146461659285277e-10,1.5934507624170183e-08
CCT6P1,6.640399,0.08434276,1.6607082129535916e-10,1.2703470657110402e-08
SDF2L1,6.6251025,0.081278056,1.7805889582235284e-10,1.3517693834543753e-08
POFUT2,6.6152706,0.04622954,2.199900941126207e-10,1.627117909322685e-08
HSPB11,6.6075644,0.071391806,2.455672531617921e-10,1.783509746970734e-08
LTB4R,6.60616,0.10719419,1.94927322566709e-10,1.4687445226206186e-08
HIST1H4C,6.605266,0.7667676,2.5078984362683495e-10,1.8148885158577934e-08
MTFR1,6.60336,0.07592206,2.982564874618743e-10,2.090705231622992e-08
ADAMTSL4,6.5990057,0.18584268,2.3254121400596081e-10,1.7073956727634743e-08
AP4M1,6.588608,0.053914875,2.7297117800339494e-10,1.940506769990212e-08
ADPGK,6.5756965,0.05302283,3.5894128696762656e-10,2.3778068545136185e-08
PDCD5,6.5694585,0.050363887,3.127794515567579e-10,2.1606605544018e-08
SLC2A4RG,6.559014,0.08208435,3.291340598836358e-10,2.2369996678172247e-08
PPP4C,6.556525,0.053152736,3.5717689041125973e-10,2.3778068545136185e-08
IRAK4,6.5541754,0.065136336,3.508332928684278e-10,2.352688061975677e-08
C11orf10,6.5536604,0.051669292,3.7439753513621395e-10,2.4534624142900173e-08
C1orf112,6.55291,0.09081561,3.2390577683761804e-10,2.2106551307023996e-08
ZNF557,6.54792,0.05611121,3.864606351688671e-10,2.5196622758456918e-08
MSRA,6.5466003,0.050840233,3.387324213313698e-10,2.2817611633598973e-08
TMEM93,6.5464325,0.049648095,3.031497404624088e-10,2.1176272495217847e-08
SYDE1,6.5432296,0.08433708,3.0521952776566665e-10,2.118198637628464e-08
C1orf91,6.534316,0.07186852,3.1896550087753223e-10,2.1900846234314654e-08
TIMM8B,6.531897,0.070879474,4.4454105077955116e-10,2.786067557502496e-08
ECSCR,6.520507,0.23514833,3.535042437961315e-10,2.3627237131862367e-08
PCGF1,6.516903,0.057171274,4.484837682700455e-10,2.7968982992675327e-08
HDAC3,6.5145187,0.04539191,5.411068304255507e-10,3.185217854239244e-08
ROMO1,6.5090938,0.0714114,4.672541529001599e-10,2.8659204414772613e-08
ERI1,6.507934,0.07667358,4.928899002535812e-10,2.9777654694599243e-08
LYPLA2P1,6.5046253,0.10512311,4.1588052253077837e-10,2.6542088621460442e-08
HIST1H1E,6.5011163,0.49054757,4.745521935577358e-10,2.88430242598022e-08
UQCRQ,6.500986,0.059240386,5.628279724016395e-10,3.270333047795195e-08
ST20,6.5000963,0.17479143,4.2877242655672745e-10,2.7040889271060322e-08
CYP27B1,6.500013,0.36643726,4.984265740350861e-10,2.993237557145631e-08
NADSYN1,6.4976745,0.038308628,3.136061645716898e-10,2.1606605544018e-08
