Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
AHDC1,31,180,2.1059162728764916e-34,1.7081573569735774e-33,0.2837667856535781
AHI1,115,74,0.003879101712206703,0.009194046374371899,0.06758456569777324
AHNAK,55,16,3.5627882668940204e-06,1.3937553475333846e-05,0.06891041985381607
AHNAK2,118,84,0.0236888301712778,0.04605326864668501,0.054122046574876764
AHSP,25,7,0.001971607158808617,0.005025875231566782,0.031837497875233725
AICDA,40,11,7.37887633597402e-05,0.00023380189900654234,0.05131735509094
AIF1L,46,25,0.01943433244026111,0.039118657633338126,0.03571307156212816
AIFM3,139,39,9.514851696084588e-16,6.372363003949295e-15,0.1768655447900731
AIG1,114,75,0.006398874485181096,0.014474309970846323,0.06389597144314127
AIM1,95,59,0.005283579228337626,0.012164346512511371,0.059850416454190036
AIM1L,28,182,9.988276876774235e-37,8.613312011647677e-36,0.2929457759646439
AIMP1,23,63,2.7059954924410337e-06,1.0793803581372598e-05,0.07742648308686045
AIP,55,17,7.795760371440581e-06,2.8576845363538413e-05,0.06702362740098589
AIPL1,57,8,2.713036119919313e-10,1.4586695989057951e-09,0.0876083630800612
AIRN,111,73,0.007469054930242439,0.01657803533719,0.06226415094339624
AJAP1,84,198,4.5154923714401954e-17,3.1432681373389536e-16,0.22223355430902597
AK2,19,175,6.784151341843331e-41,6.82595589130412e-40,0.2959544450110488
AK3,211,120,3.977166237086633e-08,1.9652957636024803e-07,0.15376508584055754
AK4,7,175,3.2203795423770618e-52,6.250199158344731e-51,0.3175760666326704
AK5,14,178,3.1081515563382683e-46,4.618264359971658e-45,0.3106238313785483
AK8,55,25,0.0010816209864474863,0.0029035222406029555,0.05192928777834438
AK9,98,63,0.00805815328562495,0.017749205081621408,0.05770865204827469
AKAP10,38,6,7.578513103670922e-07,3.3336580920452294e-06,0.05714771375148733
AKAP11,181,90,3.039346062798197e-09,1.574924337887358e-08,0.15631480537140915
AKAP12,106,73,0.02179242132800166,0.04308577957215595,0.05325514193438721
AKAP13,65,40,0.023587872788536343,0.04592237234699235,0.04164541900390957
AKAP17A,11,34,0.00034699539342691497,0.0010208705052994745,0.044331123576406596
AKAP4,6,25,0.0003612854441977449,0.001060005848191118,0.03635900050994391
AKAP6,146,54,5.072395259963783e-12,3.032133768212333e-11,0.16117627061023285
AKAP7,114,70,0.0015533756145081018,0.0040462646924121215,0.07332993370729221
AKIRIN2,95,53,0.0007373241821683088,0.002055694852363091,0.07117117117117117
AKNAD1,11,177,1.692690468599319e-48,2.8474351869315757e-47,0.31414244433112354
AKR1A1,3,173,9.903639137441096e-57,2.0983422725337114e-55,0.3210096889342172
AKR1C1,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
