Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
CRHR2,429,105,1.6024397592757014e-84,4.540649114113676e-82,0.5748597654258032
CRTC1,179,49,1.9559085387783894e-21,1.6586016056111717e-20,0.23006969233384328
CRX,129,25,1.9951762697175294e-19,1.514841113175827e-18,0.18526262111167774
CRYGN,436,163,2.531762042869863e-58,6.694014499968241e-57,0.4780384157742648
CSNK1G2,186,50,7.81077150334919e-23,8.620804896103594e-22,0.2407955124936257
CSRP2BP,178,41,1.0663884566965335e-24,1.645942635423283e-23,0.243362230154683
CST1,175,42,2.0478827333554446e-23,2.462378133669501e-22,0.2360700322964474
CST11,175,42,2.0478827333554446e-23,2.462378133669501e-22,0.2360700322964474
CST2,175,42,2.0478827333554446e-23,2.462378133669501e-22,0.2360700322964474
CST4,175,42,2.0478827333554446e-23,2.462378133669501e-22,0.2360700322964474
CST5,175,42,2.0478827333554446e-23,2.462378133669501e-22,0.2360700322964474
CST7,175,41,7.110286667792678e-24,9.269295588273476e-23,0.2379568247492776
CTAGE15,431,163,3.2576273165410004e-56,6.959181655734388e-55,0.4690294067652558
CTCFL,177,45,1.3006819788223518e-22,1.3555615515582289e-21,0.23401325854156046
CTDSP2,107,34,2.183784314582512e-10,1.5580082107553524e-09,0.12864184939656637
CTNNBL1,177,42,5.8648936655551866e-24,7.746611527643605e-23,0.23967363590005103
CTTNBP2,425,160,9.186985150644095e-55,1.872050786870733e-53,0.46387897331293554
CTU1,132,28,9.518043068008321e-19,6.972779063187755e-18,0.18500764915859258
CUL1,433,164,1.0433554551021747e-56,2.324794098623807e-55,0.4707462179160293
CUX1,427,152,3.436711320146186e-59,1.002185060309814e-57,0.4825769165391807
CXCL17,145,27,8.939684607541346e-23,9.686593321504756e-22,0.21031786503484617
CYCS,425,105,2.591243838814021e-82,2.0374502602779562e-80,0.5676525582185958
CYP24A1,175,43,5.78929572605286e-23,6.502890292734618e-22,0.23418323984361722
