Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
BLVRB,39,213,1.73104045778892e-40,1.719820751118066e-39,0.33161652218255994
BMI1,431,76,1.3283070730281784e-104,6.02834708490311e-103,0.6331803501614822
BMP8A,6,174,4.680977869041048e-53,9.388204212114101e-52,0.317491075981642
BMPR1A,463,103,3.3038954033141596e-106,2.1119624148334173e-104,0.6398946115927249
BMS1,426,79,1.5705450218937492e-99,5.16252238925337e-98,0.6185109637939827
BMS1P5,441,82,1.641324242164154e-106,1.2205927111777188e-104,0.6398776134625191
BNC2,256,129,5.2552546558704605e-14,3.3155999765008843e-13,0.21786503484616693
BNIP3,465,135,3.653256786495968e-88,8.118228320524027e-87,0.5831208567057624
BNIP3P1,144,55,2.5089552542759e-11,1.441833428834452e-10,0.1556858745537991
BORA,184,91,1.5279769339316566e-09,8.056605651639644e-09,0.15983341832398437
BPIFC,157,41,3.948239220204953e-19,2.828347618784874e-18,0.20552439231684516
BRCA2,155,84,1.7229172756918207e-06,7.139769190466905e-06,0.12078871324154342
BRDT,24,178,3.646466175980891e-38,3.3626282931605242e-37,0.2926058133605303
BRMS1L,142,55,6.244971889245948e-11,3.4861377822464746e-10,0.15208227095019547
BRSK1,56,257,1.6024741574761293e-46,2.4315522013743855e-45,0.3840047594764576
BSDC1,17,175,1.6043821417062692e-42,1.7591991629716478e-41,0.29955804861465235
BSPH1,62,240,1.7917731960606612e-37,1.5926637249244528e-36,0.3411184769675336
BTBD16,470,133,1.694960210162771e-92,4.100111477788269e-91,0.5959034506204317
BTBD8,24,178,3.646466175980891e-38,3.3626282931605242e-37,0.2926058133605303
BTF3L4,13,177,8.648118830176746e-47,1.3434544060694425e-45,0.31053884072751997
BTRC,466,107,1.1158784319390496e-105,6.231496581631376e-104,0.6377528471868095
BUB1B,106,47,1.2953055139231496e-06,5.48733204460055e-06,0.10231174570797212
C10ORF32,463,110,8.813638253755993e-102,3.2371264999492063e-100,0.6266870644229134
C10orf10,430,79,6.626019165412624e-102,2.4749355944554633e-100,0.6257181710011899
C10orf105,462,88,7.002392334598737e-116,5.259496882517111e-112,0.6663946965833759
C10orf107,451,83,5.521010855795066e-112,9.99236446695825e-110,0.656008839027707
C10orf11,460,93,4.816624763570664e-111,7.697376297697715e-109,0.6533571307156213
C10orf111,423,77,3.958689926991594e-99,1.276125323675273e-97,0.6168791432942377
C10orf112,427,78,8.308532095492628e-101,2.889138174502089e-99,0.6221995580486147
C10orf113,430,78,1.3427393057495654e-102,5.280269594494757e-101,0.6276049634540201
C10orf12,465,105,2.7960131240366027e-106,1.8750763013070467e-104,0.6397246302906681
C10orf120,471,133,3.7299304088958647e-93,9.18541222990716e-92,0.5977052524222335
C10orf126,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
C10orf128,441,83,8.215595517488074e-106,4.63964946856037e-104,0.637990821009689
C10orf129,465,103,1.440054473018222e-107,1.3778661333553968e-105,0.6434982151963284
C10orf131,466,105,5.836754106841795e-107,4.844183436076102e-105,0.6415264320924698
C10orf137,471,135,4.9932271395984714e-92,1.1963039567950278e-90,0.5939316675165731
C10orf35,458,89,1.8307713421301665e-112,3.767376315271146e-110,0.6573006969233385
C10orf40,449,83,1.1658685480558955e-110,1.7871099315199657e-108,0.6524052354241033
C10orf53,442,83,1.9694417284592732e-106,1.4292248137640195e-104,0.6397926228114907
C10orf54,461,88,3.3908998131137096e-115,6.678980251272161e-112,0.664592894781574
C10orf55,460,90,4.089881080686514e-113,9.752094221281399e-111,0.6590175080741119
C10orf68,431,75,2.605714038934443e-105,1.359133204613653e-103,0.6350671426143124
C10orf71,441,83,8.215595517488074e-106,4.63964946856037e-104,0.637990821009689
C10orf76,467,107,2.3355591781251514e-106,1.6522030890387458e-104,0.6395546489886113
C10orf85,471,133,3.7299304088958647e-93,9.18541222990716e-92,0.5977052524222335
C10orf88,469,132,2.0933100023000484e-92,5.047464342624611e-91,0.5959884412714602
C10orf90,471,134,1.3682416348280958e-92,3.3312359543578047e-91,0.5958184599694034
C10orf91,465,135,3.653256786495968e-88,8.118228320524027e-87,0.5831208567057624
C10orf99,457,97,2.3083573117073007e-106,1.6522030890387458e-104,0.6404045554988952
C11orf58,68,129,2.557850438459834e-07,1.195520512960287e-06,0.12087370389257182
C13orf35,124,60,1.5236638828344795e-06,6.345572178524965e-06,0.1102158762536121
C13orf45,174,87,7.491459423661349e-09,3.831688915976874e-08,0.14936257011728712
C14orf119,143,53,1.0539874923044792e-11,6.184765667733549e-11,0.15765765765765763
C14orf164,142,54,3.2618299570709276e-11,1.8630878180653795e-10,0.15396906340302566
C14orf166,128,64,2.3188803768243912e-06,9.356492350431375e-06,0.10987591364949856
C14orf23,143,56,7.538095005895727e-11,4.1846734360149894e-10,0.15199728029916706
C14orf28,133,58,1.7689565400383533e-08,8.935193390872946e-08,0.1302056773754887
C14orf93,142,53,1.6810926679566325e-11,9.7428140656036e-11,0.15585585585585585
