Gene,GBM_mut,LGG_mut,pval,FDR
KRTAP10-5,0,3,0.555300505294623,1.0
KRTAP10-7,1,3,1.0,1.0
KRTAP10-9,2,1,0.2776318594459757,1.0
KRTAP13-1,0,2,0.5461432441423886,1.0
KRTAP19-1,1,2,1.0,1.0
KRTAP19-2,1,2,1.0,1.0
KRTAP20-2,3,1,0.12322231267327528,1.0
KRTAP4-11,1,3,1.0,1.0
KRTAP4-7,1,2,1.0,1.0
KRTAP5-3,1,3,1.0,1.0
KRTAP5-4,1,2,1.0,1.0
KSR1,1,3,1.0,1.0
KSR2,6,4,0.10390045357003576,1.0
KTELC1,0,5,0.16968917798636085,1.0
KTN1,0,3,0.555300505294623,1.0
L1CAM,5,6,0.5272546176448649,1.0
L3MBTL,1,2,1.0,1.0
L3MBTL2,0,4,0.3041276425443637,1.0
LACE1,0,3,0.555300505294623,1.0
LAD1,0,3,0.555300505294623,1.0
LAMA1,8,5,0.07270848823915549,1.0
LAMA2,7,8,0.4119403173477435,1.0
LAMA3,3,11,0.40034830268474786,1.0
LAMA4,0,5,0.16968917798636085,1.0
LAMA5,6,7,0.39050979126624275,1.0
LAMB1,2,4,1.0,1.0
LAMB3,4,1,0.05190631466953338,0.9984238280609337
LAMB4,5,4,0.2888957366365076,1.0
LAMC1,2,2,0.6129467360897645,1.0
LAMC2,1,3,1.0,1.0
LAMC3,6,3,0.07158905501404213,1.0
LAMP1,1,2,1.0,1.0
LAMP2,1,3,1.0,1.0
LARP1,2,2,0.6129467360897645,1.0
LARP4,1,2,1.0,1.0
LARP4B,1,2,1.0,1.0
LAS1L,3,1,0.12322231267327528,1.0
LASS3,2,1,0.2776318594459757,1.0
LASS6,1,2,1.0,1.0
LATS1,0,4,0.3041276425443637,1.0
LATS2,0,6,0.09773391900633387,1.0
LBP,3,2,0.3479791729957157,1.0
LCP1,1,4,0.6635915057670203,1.0
LCT,2,9,0.3461565380101572,1.0
LDLR,3,0,0.041546220364935736,0.9984238280609337
LEFTY2,2,2,0.6129467360897645,1.0
LEMD3,1,3,1.0,1.0
LEPR,1,2,1.0,1.0
LEPREL1,1,2,1.0,1.0
LEPREL2,3,1,0.12322231267327528,1.0
LFNG,1,2,1.0,1.0
LGALS13,1,3,1.0,1.0
LGALS8,3,1,0.12322231267327528,1.0
LGALS9C,0,3,0.555300505294623,1.0
LGI1,0,4,0.3041276425443637,1.0
LGI2,3,4,0.6988110156411875,1.0
LGR4,1,3,1.0,1.0
LGR5,2,3,1.0,1.0
LGSN,5,3,0.1341087670241668,1.0
LHFPL1,1,4,0.6635915057670203,1.0
LHX1,1,2,1.0,1.0
LHX5,1,2,1.0,1.0
LIG3,0,3,0.555300505294623,1.0
LILRA1,0,4,0.3041276425443637,1.0
LILRA2,1,4,0.6635915057670203,1.0
LILRA3,2,3,1.0,1.0
LILRA4,2,1,0.2776318594459757,1.0
LILRA6,4,3,0.2440874242159363,1.0
LILRB1,4,4,0.45877715501005295,1.0
LILRB2,3,5,1.0,1.0
LILRB3,1,2,1.0,1.0
LILRB4,1,2,1.0,1.0
LIMA1,1,3,1.0,1.0
LIMCH1,1,3,1.0,1.0
LIMK1,0,4,0.3041276425443637,1.0
LINGO2,3,4,0.6988110156411875,1.0
LIPE,0,4,0.3041276425443637,1.0
LIPG,1,3,1.0,1.0
LIPI,1,5,0.6704048423590807,1.0
LLGL1,2,2,0.6129467360897645,1.0
LLGL2,0,3,0.555300505294623,1.0
LMAN1,2,1,0.2776318594459757,1.0
LMBR1,2,2,0.6129467360897645,1.0
LMBRD2,0,4,0.3041276425443637,1.0
LMLN,0,3,0.555300505294623,1.0
LMNB2,1,2,1.0,1.0
LMO7,2,4,1.0,1.0
LMOD2,1,5,0.6704048423590807,1.0
LMTK2,0,5,0.16968917798636085,1.0
LMTK3,0,3,0.555300505294623,1.0
LNPEP,2,1,0.2776318594459757,1.0
LNX1,0,3,0.555300505294623,1.0
LOC645961,4,0,0.014320856262155878,0.9820527181773393
LONRF2,1,2,1.0,1.0
LONRF3,2,4,1.0,1.0
LPA,4,4,0.45877715501005295,1.0
LPAR3,2,3,1.0,1.0
LPAR5,2,1,0.2776318594459757,1.0
LPCAT2,1,2,1.0,1.0
LPHN2,1,4,0.6635915057670203,1.0
LPHN3,2,5,1.0,1.0
LPO,0,4,0.3041276425443637,1.0
LRAT,1,2,1.0,1.0
LRBA,3,5,1.0,1.0
LRDD,2,1,0.2776318594459757,1.0
LRFN2,3,3,0.4235081060898829,1.0
LRFN4,1,2,1.0,1.0
LRFN5,7,4,0.0557041760943801,1.0
LRIG1,1,2,1.0,1.0
LRIG3,2,1,0.2776318594459757,1.0
LRP1,9,13,0.6502645833208868,1.0
LRP1B,7,12,0.8121883460748188,1.0
LRP2,15,17,0.18337624393278673,1.0
LRP2BP,0,2,0.5461432441423886,1.0
LRP3,2,3,1.0,1.0
LRP4,2,1,0.2776318594459757,1.0
LRP5,0,4,0.3041276425443637,1.0
LRP6,2,4,1.0,1.0
LRRC14,2,1,0.2776318594459757,1.0
LRRC16A,1,6,0.43173728841039627,1.0
LRRC16B,2,1,0.2776318594459757,1.0
LRRC18,2,3,1.0,1.0
LRRC2,0,3,0.555300505294623,1.0
LRRC3,1,4,0.6635915057670203,1.0
LRRC30,3,2,0.3479791729957157,1.0
LRRC32,2,5,1.0,1.0
LRRC33,0,4,0.3041276425443637,1.0
LRRC37A3,2,1,0.2776318594459757,1.0
LRRC3B,2,2,0.6129467360897645,1.0
LRRC43,1,3,1.0,1.0
LRRC4B,0,3,0.555300505294623,1.0
LRRC4C,2,2,0.6129467360897645,1.0
LRRC50,3,1,0.12322231267327528,1.0
LRRC52,1,2,1.0,1.0
LRRC55,6,3,0.07158905501404213,1.0
LRRC66,3,1,0.12322231267327528,1.0
LRRC7,4,4,0.45877715501005295,1.0
LRRC8A,1,3,1.0,1.0
LRRC8B,2,2,0.6129467360897645,1.0
LRRC8C,1,2,1.0,1.0
LRRC8E,2,2,0.6129467360897645,1.0
LRRCC1,1,3,1.0,1.0
LRRIQ1,5,4,0.2888957366365076,1.0
LRRK1,5,8,0.774711300113603,1.0
LRRK2,3,2,0.3479791729957157,1.0
LRRN4,0,3,0.555300505294623,1.0
LSR,2,1,0.2776318594459757,1.0
LST-3TM12,3,2,0.3479791729957157,1.0
LTA4H,0,3,0.555300505294623,1.0
LTBP1,1,4,0.6635915057670203,1.0
LTBP2,5,5,0.328575491331887,1.0
LTBP3,0,3,0.555300505294623,1.0
LTBR,0,3,0.555300505294623,1.0
LTF,1,2,1.0,1.0
LUM,5,2,0.05296050564450086,0.9984238280609337
LUZP4,1,2,1.0,1.0
LY75,4,3,0.2440874242159363,1.0
LY9,2,5,1.0,1.0
LYPD4,3,2,0.3479791729957157,1.0
LYST,4,4,0.45877715501005295,1.0
LZTR1,9,5,0.024454830268644236,0.9984238280609337
MACC1,4,4,0.45877715501005295,1.0
MACF1,9,6,0.05289546093428353,0.9984238280609337
MADD,1,2,1.0,1.0
MAG,3,2,0.3479791729957157,1.0
MAGEA10,1,3,1.0,1.0
MAGEA11,1,2,1.0,1.0
MAGEA12,2,2,0.6129467360897645,1.0
MAGEA4,1,2,1.0,1.0
MAGEA6,3,4,0.6988110156411875,1.0
MAGEA8,1,4,0.6635915057670203,1.0
MAGEB1,3,1,0.12322231267327528,1.0
MAGEB16,2,3,1.0,1.0
MAGEB18,1,2,1.0,1.0
MAGEB2,1,2,1.0,1.0
MAGEB4,4,2,0.19015132781181593,1.0
MAGEB6,2,4,1.0,1.0
MAGEC1,0,6,0.09773391900633387,1.0
MAGEC2,5,3,0.1341087670241668,1.0
MAGEC3,2,2,0.6129467360897645,1.0
MAGEE1,1,5,0.6704048423590807,1.0
MAGEE2,0,3,0.555300505294623,1.0
MAGI1,2,3,1.0,1.0
MAGI2,2,4,1.0,1.0
MAGI3,1,4,0.6635915057670203,1.0
MALT1,1,3,1.0,1.0
MAMDC2,1,2,1.0,1.0
MAML1,2,4,1.0,1.0
MAMLD1,1,6,0.43173728841039627,1.0
MAN2A2,3,2,0.3479791729957157,1.0
MAN2B1,5,2,0.05296050564450086,0.9984238280609337
MAN2B2,2,4,1.0,1.0
MAOA,1,2,1.0,1.0
MAP1A,2,4,1.0,1.0
MAP1B,2,5,1.0,1.0
MAP1S,3,2,0.3479791729957157,1.0
MAP2,1,4,0.6635915057670203,1.0
MAP2K3,3,2,0.3479791729957157,1.0
MAP3K1,6,3,0.07158905501404213,1.0
MAP3K12,1,5,0.6704048423590807,1.0
MAP3K13,1,3,1.0,1.0
MAP3K15,2,4,1.0,1.0
MAP3K4,2,4,1.0,1.0
MAP3K5,0,4,0.3041276425443637,1.0
MAP3K7,2,0,0.12024143339194904,1.0
MAP3K8,0,4,0.3041276425443637,1.0
MAP3K9,3,2,0.3479791729957157,1.0
MAP4K1,2,1,0.2776318594459757,1.0
MAP4K3,3,2,0.3479791729957157,1.0
MAP4K4,2,2,0.6129467360897645,1.0
MAP6,1,2,1.0,1.0
MAP7,0,3,0.555300505294623,1.0
MAP7D3,1,3,1.0,1.0
MAPK1,2,2,0.6129467360897645,1.0
MAPK15,1,3,1.0,1.0
MAPK7,1,4,0.6635915057670203,1.0
MAPK8IP1,2,1,0.2776318594459757,1.0
MAPK8IP2,1,3,1.0,1.0
MAPK8IP3,3,3,0.4235081060898829,1.0
MAPKBP1,3,1,0.12322231267327528,1.0
MARCH10,2,1,0.2776318594459757,1.0
MARCH4,2,2,0.6129467360897645,1.0
MARCH6,3,2,0.3479791729957157,1.0
MARCO,3,1,0.12322231267327528,1.0
MARK2,0,3,0.555300505294623,1.0
MARS,2,2,0.6129467360897645,1.0
MARVELD2,1,2,1.0,1.0
MARVELD3,0,3,0.555300505294623,1.0
MAST1,3,3,0.4235081060898829,1.0
MAST2,1,5,0.6704048423590807,1.0
MAST3,2,5,1.0,1.0
MAST4,6,4,0.10390045357003576,1.0
MATK,2,7,0.7264026999583479,1.0
MATN2,0,5,0.16968917798636085,1.0
MATN4,3,3,0.4235081060898829,1.0
MATR3,2,2,0.6129467360897645,1.0
MAVS,0,3,0.555300505294623,1.0
MAX,2,5,1.0,1.0
MBD5,1,2,1.0,1.0
MBD6,1,4,0.6635915057670203,1.0
MBL2,1,3,1.0,1.0
MBNL1,3,0,0.041546220364935736,0.9984238280609337
MBNL3,0,3,0.555300505294623,1.0
MBTPS2,0,3,0.555300505294623,1.0
MC3R,3,2,0.3479791729957157,1.0
MC4R,2,2,0.6129467360897645,1.0
MC5R,2,3,1.0,1.0
MCART2,1,2,1.0,1.0
MCART6,0,3,0.555300505294623,1.0
MCAT,1,2,1.0,1.0
MCC,1,3,1.0,1.0
MCCC1,1,2,1.0,1.0
MCCC2,0,3,0.555300505294623,1.0
MCF2,1,4,0.6635915057670203,1.0
MCF2L,1,2,1.0,1.0
MCM10,0,3,0.555300505294623,1.0
MCM3AP,0,4,0.3041276425443637,1.0
MCM4,2,1,0.2776318594459757,1.0
MCM5,2,1,0.2776318594459757,1.0
MCM6,3,3,0.4235081060898829,1.0
MCM7,2,3,1.0,1.0
MCOLN1,1,3,1.0,1.0
MCOLN3,4,0,0.014320856262155878,0.9820527181773393
MCPH1,0,4,0.3041276425443637,1.0
MCTP1,2,1,0.2776318594459757,1.0
MCTP2,2,6,0.7207249349769386,1.0
MDC1,3,2,0.3479791729957157,1.0
MDGA2,4,4,0.45877715501005295,1.0
MDH1B,0,3,0.555300505294623,1.0
MDM2,2,3,1.0,1.0
MDN1,2,4,1.0,1.0
MECOM,4,6,0.7449010997430616,1.0
MED1,0,3,0.555300505294623,1.0
MED12,6,8,0.5748900184752334,1.0
MED12L,1,4,0.6635915057670203,1.0
MED13,4,3,0.2440874242159363,1.0
MED13L,1,4,0.6635915057670203,1.0
MED15,1,3,1.0,1.0
MED16,0,3,0.555300505294623,1.0
MED23,1,3,1.0,1.0
MED28,0,3,0.555300505294623,1.0
MED7,2,1,0.2776318594459757,1.0
MED9,0,3,0.555300505294623,1.0
MEF2A,2,1,0.2776318594459757,1.0
MEGF10,0,5,0.16968917798636085,1.0
MEGF11,1,2,1.0,1.0
MEGF6,1,4,0.6635915057670203,1.0
MEGF8,4,2,0.19015132781181593,1.0
MEI1,1,2,1.0,1.0
MEIS2,0,3,0.555300505294623,1.0
MEIS3,2,1,0.2776318594459757,1.0
MEN1,3,1,0.12322231267327528,1.0
MEP1A,2,3,1.0,1.0
MEPE,1,2,1.0,1.0
MERTK,2,3,1.0,1.0
MEST,2,1,0.2776318594459757,1.0
MET,1,8,0.17377216114695537,1.0
METTL3,0,3,0.555300505294623,1.0
MEX3A,0,3,0.555300505294623,1.0
MFAP1,1,2,1.0,1.0
MFHAS1,0,4,0.3041276425443637,1.0
MFRP,2,1,0.2776318594459757,1.0
MFSD2B,1,2,1.0,1.0
MFSD6L,2,2,0.6129467360897645,1.0
MFSD9,2,2,0.6129467360897645,1.0
MGA,1,4,0.6635915057670203,1.0
MGAM,6,6,0.3590510531208838,1.0
MGAT2,1,2,1.0,1.0
MGAT3,0,3,0.555300505294623,1.0
MGAT4C,3,6,1.0,1.0
